"B_index","B_id","Latitude","Longitude","Media","B_Size","Influence","B_Cost"
"1","18","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"2","22","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"3","23","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"4","68","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"5","69","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"6","70","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"7","75","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"8","76","40.85071","-73.93581","Poster","242.74","0.023199847","5418.19954"
"9","104","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"10","105","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"11","106","40.85071","-73.93581","Poster","242.74","0.046399694","5418.19954"
"12","125","40.85071","-73.93581","Poster","242.74","0.011599924","5418.19954"
"13","143","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"14","144","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"15","162","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"16","163","40.86981","-73.9166","Poster","242.74","0.023199847","5418.19954"
"17","167","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"18","171","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"19","176","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"20","184","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"21","185","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"22","194","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"23","195","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"24","196","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"25","212","40.86981","-73.9166","Poster","242.74","0.023199847","5418.19954"
"26","215","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"27","216","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"28","222","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"29","257","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"30","258","40.86981","-73.9166","Poster","242.74","0.011599924","5418.19954"
"31","261","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"32","262","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"33","288","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"34","289","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"35","290","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"36","291","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"37","292","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"38","296","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"39","297","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"40","300","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"41","301","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"42","304","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"43","305","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"44","311","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"45","320","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"46","321","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"47","331","40.818089","-73.960708","Poster","242.74","0.023199847","5418.19954"
"48","334","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"49","335","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"50","336","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"51","337","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"52","348","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"53","373","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"54","374","40.818089","-73.960708","Poster","242.74","0.023199847","5418.19954"
"55","409","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"56","412","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"57","415","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"58","416","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"59","425","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"60","432","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"61","434","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"62","458","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"63","468","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"64","475","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"65","476","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"66","503","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"67","506","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"68","518","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"69","533","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"70","550","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"71","557","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"72","575","40.818089","-73.960708","Poster","242.74","0.023199847","5418.19954"
"73","576","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"74","607","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"75","610","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"76","614","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"77","615","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"78","643","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"79","651","40.818089","-73.960708","Poster","242.74","0.023199847","5418.19954"
"80","652","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"81","653","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"82","675","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"83","678","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"84","679","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"85","691","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"86","692","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"87","706","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"88","721","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"89","722","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"90","725","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"91","752","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"92","753","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"93","754","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"94","756","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"95","757","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"96","794","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"97","795","40.818089","-73.960708","Poster","242.74","0.023199847","5418.19954"
"98","819","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"99","820","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"100","851","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"101","896","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"102","897","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"103","916","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"104","948","40.818089","-73.960708","Poster","242.74","0.023199847","5418.19954"
"105","968","40.818089","-73.960708","Poster","242.74","0.011599924","5418.19954"
"106","969","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"107","970","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"108","971","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"109","1010","40.83186","-73.94138","Poster","242.74","0.046399694","5418.19954"
"110","1013","40.83186","-73.94138","Poster","242.74","0.034799771","5418.19954"
"111","1019","40.83186","-73.94138","Poster","242.74","0.023199847","5418.19954"
"112","1035","40.83186","-73.94138","Poster","242.74","0.023199847","5418.19954"
"113","1040","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"114","1041","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"115","1043","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"116","1044","40.83186","-73.94138","Poster","242.74","0.034799771","5418.19954"
"117","1045","40.83186","-73.94138","Poster","242.74","0.081199465","5418.19954"
"118","1046","40.83186","-73.94138","Poster","242.74","0.092799388","5418.19954"
"119","1047","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"120","1049","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"121","1053","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"122","1054","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"123","1057","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"124","1060","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"125","1072","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"126","1080","40.83186","-73.94138","Poster","242.74","0.046399694","5418.19954"
"127","1089","40.83186","-73.94138","Poster","242.74","0.034799771","5418.19954"
"128","1094","40.83186","-73.94138","Poster","242.74","0.023199847","5418.19954"
"129","1100","40.83186","-73.94138","Poster","242.74","0.023199847","5418.19954"
"130","1102","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"131","1103","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"132","1105","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"133","1106","40.83186","-73.94138","Poster","242.74","0.034799771","5418.19954"
"134","1107","40.83186","-73.94138","Poster","242.74","0.081199465","5418.19954"
"135","1115","40.83186","-73.94138","Poster","242.74","0.092799388","5418.19954"
"136","1116","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"137","1118","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"138","1119","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"139","1120","40.83186","-73.94138","Poster","242.74","0.011599924","5418.19954"
"140","1121","40.76525","-73.99509","Poster","242.74","0.011599924","5418.19954"
"141","1122","40.76525","-73.99509","Poster","242.74","0.011599924","5418.19954"
"142","1123","40.76525","-73.99509","Poster","242.74","0.011599924","5418.19954"
"143","1130","40.76525","-73.99509","Poster","242.74","0.011599924","5418.19954"
"144","1136","40.76525","-73.99509","Poster","242.74","0.011599924","5418.19954"
"145","1140","40.76525","-73.99509","Poster","242.74","0.011599924","5418.19954"
"146","1143","40.74737","-73.94792","Poster","242.74","0.011599924","5418.19954"
"147","1144","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"148","1146","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"149","1147","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"150","1148","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"151","1149","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"152","1150","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"153","1159","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"154","1165","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"155","1196","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"156","1197","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"157","1214","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"158","1222","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"159","1228","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"160","1229","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"161","1231","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"162","1232","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"163","1233","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"164","1234","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"165","1235","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"166","1237","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"167","1302","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"168","1303","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"169","1304","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"170","1305","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"171","1307","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"172","1308","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"173","1309","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"174","1310","40.7514","-73.9153","Poster","242.74","0.011599924","5418.19954"
"175","1326","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"176","1327","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"177","1328","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"178","1329","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"179","1330","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"180","1331","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"181","1332","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"182","1333","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"183","1348","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"184","1349","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"185","1350","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"186","1351","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"187","1352","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"188","1353","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"189","1354","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"190","1355","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"191","1538","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"192","1539","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"193","1540","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"194","1547","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"195","1550","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"196","1560","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"197","1563","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"198","1568","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"199","1572","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"200","1573","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"201","1574","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"202","1575","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"203","1576","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"204","1615","40.74275926","-73.95183923","Poster","242.74","0.011599924","5418.19954"
"205","1617","40.755411","-73.912092","Poster","242.74","0.011599924","5418.19954"
"206","1621","40.755411","-73.912092","Poster","242.74","0.011599924","5418.19954"
"207","1624","40.755411","-73.912092","Poster","242.74","0.011599924","5418.19954"
"208","1631","40.755411","-73.912092","Poster","242.74","0.011599924","5418.19954"
"209","1632","40.755411","-73.912092","Poster","242.74","0.011599924","5418.19954"
"210","1633","40.755411","-73.912092","Poster","242.74","0.011599924","5418.19954"
"211","1635","40.755411","-73.912092","Poster","242.74","0.011599924","5418.19954"
"212","1636","40.755411","-73.912092","Poster","242.74","0.011599924","5418.19954"
"213","1639","40.755411","-73.912092","Poster","242.74","0.011599924","5418.19954"
"214","1641","40.755411","-73.912092","Poster","242.74","0.011599924","5418.19954"
"215","1642","40.755411","-73.912092","Poster","242.74","0.011599924","5418.19954"
"216","1643","40.755411","-73.912092","Poster","242.74","0.011599924","5418.19954"
"217","1644","40.74201","-73.91488","Poster","242.74","0.011599924","5418.19954"
"218","1645","40.74201","-73.91488","Poster","242.74","0.011599924","5418.19954"
"219","1646","40.74201","-73.91488","Poster","242.74","0.011599924","5418.19954"
"220","1649","40.74201","-73.91488","Poster","242.74","0.011599924","5418.19954"
"221","1650","40.74201","-73.91488","Poster","242.74","0.011599924","5418.19954"
